,smoker,drink_level,marital_status,hijos,birth_year,interest,personality,religion,activity,label
70,0,0,0,0,1930,2,1,0,0,1.0
71,0,2,0,0,1984,4,0,2,0,2.0
72,0,0,2,1,1989,2,2,0,3,0.0
73,1,2,0,1,1967,4,2,1,1,3.0
74,0,2,0,0,1991,1,0,1,0,0.0
75,0,1,1,1,1987,1,0,1,0,2.0
76,0,1,1,1,1987,1,0,1,0,2.0
77,1,1,0,0,1983,0,2,1,1,2.0
78,0,0,0,0,1992,1,0,1,0,0.0
79,1,1,0,0,1987,0,2,1,0,2.0
80,0,2,0,0,1991,0,2,1,0,0.0
81,1,0,0,0,1989,0,2,1,0,0.0
82,0,0,0,0,1981,2,2,0,0,2.0
83,1,2,0,0,1991,0,0,1,0,0.0
84,0,0,0,0,1988,1,0,1,0,0.0
85,0,1,0,0,1991,0,1,1,0,0.0
86,0,0,0,0,1989,0,0,1,0,0.0
87,0,1,0,0,1991,2,2,1,0,0.0
88,1,2,0,0,1990,0,3,1,0,0.0
89,0,1,0,0,1988,0,0,1,0,0.0
90,0,2,0,0,1989,4,0,0,0,0.0
91,0,0,0,2,1990,0,0,1,0,0.0
92,1,2,0,0,1990,0,0,1,0,0.0
93,0,0,0,0,1991,0,0,1,0,0.0
94,0,0,1,0,1986,0,0,1,0,2.0
95,0,0,0,0,1990,4,2,1,0,0.0
96,0,0,0,0,1990,0,2,1,0,0.0
97,0,1,0,0,1991,2,0,1,0,0.0
98,1,1,0,0,1989,1,3,1,0,0.0
99,0,2,0,0,1990,4,2,2,0,0.0
100,0,2,0,0,1988,4,1,1,0,0.0
101,0,1,0,0,1989,4,3,0,0,0.0
102,0,0,0,0,1989,1,2,4,1,0.0
103,1,1,0,0,1991,1,1,1,0,0.0
104,0,1,0,0,1991,0,2,2,0,0.0
105,0,2,0,0,1930,1,2,1,1,1.0
106,0,0,0,0,1989,0,2,1,0,0.0
107,0,0,0,0,1983,1,0,1,0,2.0
108,0,0,0,0,1989,4,0,1,0,0.0
109,0,0,0,0,1993,0,0,1,0,0.0
110,1,2,0,0,1991,2,2,1,0,0.0
111,1,2,0,0,1991,2,2,1,0,0.0
112,0,2,0,0,1990,2,0,1,0,0.0
113,0,0,0,0,1991,0,2,1,0,0.0
114,1,1,0,0,1990,0,2,1,0,0.0
115,0,1,1,1,1987,1,0,1,0,2.0
116,0,0,0,0,1982,1,0,1,1,2.0
117,1,2,0,0,1987,1,0,0,0,2.0
118,0,0,0,0,1992,4,0,1,0,0.0
119,0,0,0,0,1930,0,2,0,0,1.0
120,0,1,1,0,1987,0,0,1,2,2.0
121,0,0,0,0,1930,2,2,0,0,1.0
122,0,0,0,0,1987,1,2,1,0,2.0
123,0,2,0,0,1991,2,2,1,0,0.0
124,0,2,0,0,1990,1,2,1,0,0.0
125,0,2,0,0,1990,1,2,1,0,0.0
126,0,0,0,0,1992,0,2,1,0,0.0
127,0,2,0,0,1986,0,0,1,0,2.0
128,0,2,0,0,1989,0,0,0,0,0.0
129,0,0,0,0,1989,2,2,0,0,0.0
130,1,1,1,1,1990,4,2,0,0,0.0
131,0,2,0,0,1991,2,2,0,0,0.0
132,0,0,0,0,1991,2,2,0,0,0.0
133,0,2,0,0,1991,0,2,1,0,0.0
134,0,2,0,1,1988,0,1,1,0,0.0
135,1,1,0,0,1990,3,0,1,0,0.0
136,0,1,0,0,1989,4,2,1,0,0.0
137,0,1,0,0,1991,0,0,0,0,0.0
