id,userID,latitude,longitude,smoker,drink_level,dress_preference,ambience,transport,marital_status,hijos,birth_year,interest,personality,religion,activity,color,weight,budget,height
39,U1039,23.738067,-99.139906,FALSE,social drinker,no preference,friends,public,single,independent,1989,none,hard-worker,none,student,yellow,83,medium,1.73
40,U1040,18.895187,-99.18039,FALSE,abstemious,no preference,friends,public,single,independent,1994,none,thrifty-protector,Catholic,student,blue,73,medium,1.64
41,U1041,18.935191,-99.23624,FALSE,abstemious,no preference,friends,on foot,single,independent,1985,eco-friendly,hunter-ostentatious,Catholic,professional,white,40,medium,1.62
42,U1042,18.925773,-99.219589,FALSE,abstemious,no preference,family,car owner,single,independent,1943,technology,thrifty-protector,Christian,student,yellow,40,high,1.4
43,U1043,23.77103,-99.167082,FALSE,abstemious,no preference,solitary,public,single,independent,1989,technology,hard-worker,none,student,white,60,medium,1.64
44,U1044,18.95298,-99.260789,TRUE,social drinker,informal,family,car owner,married,kids,1969,variety,thrifty-protector,Catholic,professional,orange,85,medium,1.73
45,U1045,22.156724,-100.984268,FALSE,casual drinker,elegant,friends,car owner,single,independent,1991,technology,thrifty-protector,Mormon,student,orange,68,high,1.6
46,U1046,22.144415,-100.933097,FALSE,social drinker,no preference,friends,car owner,single,independent,1990,retro,hard-worker,Catholic,student,black,82,medium,1.84
47,U1047,22.142429,-100.949147,FALSE,abstemious,no preference,family,public,single,independent,1992,retro,thrifty-protector,Catholic,student,purple,60,medium,1.63
48,U1048,22.142208,-101.022785,TRUE,casual drinker,no preference,friends,public,single,independent,1988,eco-friendly,thrifty-protector,none,student,green,65,medium,1.7
49,U1049,22.15,-100.983,FALSE,casual drinker,informal,solitary,public,single,independent,1991,none,hard-worker,none,student,blue,55,medium,1.6
50,U1050,23.758815,-99.171216,FALSE,social drinker,no preference,family,car owner,single,independent,1989,variety,hard-worker,none,student,green,73,medium,1.71
51,U1051,18.877719,-99.22299,FALSE,casual drinker,no preference,family,public,single,independent,1979,variety,thrifty-protector,none,professional,blue,74,medium,1.76
52,U1052,22.138055,-100.936005,TRUE,social drinker,no preference,family,on foot,single,independent,1990,none,conformist,Catholic,student,blue,85,low,1.8
53,U1053,22.175833,-100.986671,FALSE,casual drinker,informal,family,public,single,independent,1990,variety,thrifty-protector,Catholic,student,red,66,low,1.72
54,U1054,22.150683,-100.975342,FALSE,social drinker,formal,family,public,single,independent,1992,technology,thrifty-protector,Catholic,student,blue,59,medium,1.7
55,U1055,22.143289,-100.987683,FALSE,abstemious,no preference,family,car owner,married,dependent,1952,none,hard-worker,Catholic,professional,blue,70,medium,1.66
56,U1056,22.168997,-100.974376,FALSE,social drinker,informal,family,on foot,single,independent,1930,none,hard-worker,Catholic,student,yellow,61,medium,1.62
57,U1057,22.196624,-100.91217,TRUE,casual drinker,formal,friends,public,single,independent,1989,technology,hunter-ostentatious,Catholic,student,yellow,69,medium,1.83
58,U1058,22.205802,-100.986081,FALSE,abstemious,formal,family,public,single,independent,1991,variety,hard-worker,Catholic,student,red,74,low,1.78
59,U1059,18.988278,-99.097023,FALSE,abstemious,formal,friends,on foot,single,independent,1987,technology,thrifty-protector,Catholic,student,blue,57,medium,1.69
60,U1060,23.715238,-99.158864,FALSE,casual drinker,formal,family,public,single,independent,1991,technology,thrifty-protector,Catholic,student,blue,82,medium,1.84
61,U1061,22.140388,-100.937321,FALSE,social drinker,no preference,friends,car owner,single,independent,1990,none,hard-worker,Catholic,professional,blue,40,medium,1.76
62,U1062,22.195826,-101.006317,FALSE,casual drinker,informal,friends,car owner,single,independent,1985,variety,hard-worker,Catholic,student,yellow,88,medium,1.68
63,U1063,23.745096,-99.164357,FALSE,casual drinker,formal,family,public,single,independent,1988,eco-friendly,conformist,Catholic,student,red,80,medium,1.78
64,U1064,22.139511,-100.957002,FALSE,casual drinker,formal,solitary,public,single,independent,1991,variety,hunter-ostentatious,none,student,blue,94,medium,1.77
65,U1065,23.733665,-99.105617,FALSE,abstemious,formal,friends,public,single,independent,1989,technology,conformist,Catholic,student,green,55,medium,1.72
66,U1066,18.890695,-99.157104,FALSE,abstemious,informal,solitary,public,single,independent,1986,technology,thrifty-protector,Catholic,student,green,45,low,1.45
67,U1067,23.752269,-99.168605,FALSE,abstemious,no preference,family,public,single,independent,1987,technology,thrifty-protector,Christian,student,green,92,medium,1.73
68,U1068,23.752269,-99.168605,FALSE,casual drinker,informal,friends,public,single,independent,1988,technology,thrifty-protector,Catholic,student,blue,72,low,1.57
69,U1069,19.347641,-99.130229,FALSE,social drinker,no preference,family,public,single,independent,1983,variety,thrifty-protector,Catholic,professional,black,60,medium,1.56
70,U1070,23.753237,-99.166868,FALSE,casual drinker,informal,friends,public,single,independent,1991,variety,thrifty-protector,Catholic,student,green,47,low,1.6
71,U1071,22.154339,-100.975342,FALSE,abstemious,formal,friends,car owner,single,independent,1930,none,hunter-ostentatious,none,student,blue,40,high,1.73
72,U1072,18.86826,-99.212033,FALSE,casual drinker,no preference,family,public,single,independent,1984,eco-friendly,thrifty-protector,Christian,student,red,50,medium,1.54
73,U1073,22.15,-100.983,FALSE,abstemious,informal,solitary,car owner,widow,kids,1989,none,hard-worker,none,unemployed,yellow,118,medium,1.79
74,U1074,18.917,-99.25,TRUE,casual drinker,no preference,family,car owner,single,kids,1967,eco-friendly,hard-worker,Catholic,professional,black,68,medium,1.7
75,U1075,22.167575,-100.960364,FALSE,casual drinker,informal,family,car owner,single,independent,1991,technology,thrifty-protector,Catholic,student,white,68,medium,1.6
76,U1076,22.156469,-100.98554,FALSE,social drinker,elegant,family,public,married,kids,1987,technology,thrifty-protector,Catholic,student,blue,65,medium,1.71
77,U1077,22.156469,-100.98554,FALSE,social drinker,elegant,family,public,married,kids,1987,technology,thrifty-protector,Catholic,student,blue,65,medium,1.71
78,U1078,22.172109,-100.963199,TRUE,social drinker,informal,solitary,car owner,single,independent,1983,variety,hard-worker,Catholic,professional,blue,69,medium,1.69
79,U1079,18.917,-99.25,FALSE,abstemious,formal,family,public,single,independent,1992,technology,thrifty-protector,Catholic,student,black,53,medium,1.55
80,U1080,23.743793,-99.163397,TRUE,social drinker,formal,friends,car owner,single,independent,1987,variety,hard-worker,Catholic,student,white,80,low,1.82
81,U1081,22.207749,-100.942383,FALSE,casual drinker,informal,family,public,single,independent,1991,variety,hard-worker,Catholic,student,green,52,low,1.54
82,U1082,23.753061,-99.166095,TRUE,abstemious,informal,friends,public,single,independent,1989,variety,hard-worker,Catholic,student,black,63,medium,1.69
83,U1083,22.13392,-101.028373,FALSE,abstemious,informal,friends,public,single,independent,1981,none,hard-worker,none,student,yellow,40,medium,1.6
84,U1084,22.172524,-101.005758,TRUE,casual drinker,formal,family,public,single,independent,1991,variety,thrifty-protector,Catholic,student,red,65,medium,1.6
85,U1085,22.196787,-100.936335,FALSE,abstemious,no preference,solitary,car owner,single,independent,1988,technology,thrifty-protector,Catholic,student,black,84,medium,1.7
86,U1086,22.157281,-100.98444,FALSE,social drinker,no preference,family,car owner,single,independent,1991,variety,hunter-ostentatious,Catholic,student,red,49,medium,1.59
87,U1087,23.753336,-99.167984,FALSE,abstemious,no preference,solitary,public,single,independent,1989,variety,thrifty-protector,Catholic,student,black,53,medium,1.55
88,U1088,22.142748,-100.940664,FALSE,social drinker,informal,family,on foot,single,independent,1991,none,hard-worker,Catholic,student,blue,62,medium,1.6
89,U1089,22.162562,-100.99313,TRUE,casual drinker,informal,family,public,single,independent,1990,variety,conformist,Catholic,student,white,54,low,1.6
90,U1090,22.158473,-100.984268,FALSE,social drinker,no preference,friends,car owner,single,independent,1988,variety,thrifty-protector,Catholic,student,blue,50,medium,1.54
91,U1091,22.154677,-100.949013,FALSE,casual drinker,no preference,family,car owner,single,independent,1989,eco-friendly,thrifty-protector,none,student,red,40,low,1.7
92,U1092,22.125365,-100.947888,FALSE,abstemious,formal,solitary,public,single,dependent,1990,variety,thrifty-protector,Catholic,student,red,70,medium,1.69
93,U1093,18.871654,-99.183251,TRUE,casual drinker,no preference,family,car owner,single,independent,1990,variety,thrifty-protector,Catholic,student,blue,80,medium,1.67
94,U1094,23.73944,-99.160548,FALSE,abstemious,informal,friends,public,single,independent,1991,variety,thrifty-protector,Catholic,student,green,59,medium,1.71
95,U1095,22.179865,-101.018547,FALSE,abstemious,formal,family,public,married,independent,1986,variety,thrifty-protector,Catholic,student,blue,65,medium,1.65
96,U1096,22.1455,-100.939593,FALSE,abstemious,formal,family,public,single,independent,1990,eco-friendly,hard-worker,Catholic,student,black,40,medium,1.2
97,U1097,22.145471,-100.939588,FALSE,abstemious,formal,family,public,single,independent,1990,variety,hard-worker,Catholic,student,black,58,medium,1.64
98,U1098,22.182571,-100.963232,FALSE,social drinker,formal,family,public,single,independent,1991,none,thrifty-protector,Catholic,student,green,68,medium,1.76
99,U1099,22.184862,-100.970535,TRUE,social drinker,informal,family,public,single,independent,1989,technology,conformist,Catholic,student,purple,70,high,2
100,U1100,18.879729,-99.067106,FALSE,casual drinker,formal,friends,public,single,independent,1990,eco-friendly,hard-worker,Christian,student,black,40,medium,1.65
101,U1101,22.150891,-100.974891,FALSE,casual drinker,no preference,friends,car owner,single,independent,1988,eco-friendly,hunter-ostentatious,Catholic,student,white,50,low,1.69
102,U1102,22.137131,-100.941151,FALSE,social drinker,no preference,friends,on foot,single,independent,1989,eco-friendly,conformist,none,student,black,90,low,1.78
103,U1103,23.752265,-99.16859,FALSE,abstemious,formal,friends,public,single,independent,1989,technology,hard-worker,Jewish,professional,green,120,medium,1.9
104,U1104,22.149005,-100.978153,TRUE,social drinker,no preference,family,car owner,single,independent,1991,technology,hunter-ostentatious,Catholic,student,blue,75,medium,1.71
105,U1105,22.120019,-100.950991,FALSE,social drinker,formal,family,public,single,independent,1991,variety,hard-worker,Christian,student,green,40,medium,1.74
106,U1106,18.927072,-99.173584,FALSE,casual drinker,informal,friends,car owner,single,independent,1930,technology,hard-worker,Catholic,professional,blue,65,medium,1.71
107,U1107,23.742409,-99.171889,FALSE,abstemious,no preference,friends,car owner,single,independent,1989,variety,hard-worker,Catholic,student,blue,87,high,1.79
108,U1108,22.143524,-100.987562,FALSE,abstemious,informal,solitary,public,single,independent,1983,technology,thrifty-protector,Catholic,student,blue,76,medium,1.81
109,U1109,22.303308,-101.05468,FALSE,abstemious,formal,solitary,public,single,independent,1989,eco-friendly,thrifty-protector,Catholic,student,blue,57,low,1.72
110,U1110,18.871678,-99.183263,FALSE,abstemious,no preference,family,car owner,single,independent,1993,variety,thrifty-protector,Catholic,student,red,85,medium,1.75
111,U1111,22.143078,-100.908523,TRUE,casual drinker,formal,friends,car owner,single,independent,1991,none,hard-worker,Catholic,student,white,69,medium,1.69
112,U1112,22.143078,-100.908523,TRUE,casual drinker,formal,friends,car owner,single,independent,1991,none,hard-worker,Catholic,student,white,69,medium,1.69
113,U1113,22.137343,-100.913935,FALSE,casual drinker,formal,family,public,single,independent,1990,none,thrifty-protector,Catholic,student,blue,75,medium,1.73
114,U1114,22.177726,-101.014094,FALSE,abstemious,no preference,family,on foot,single,independent,1991,variety,hard-worker,Catholic,student,blue,58,medium,1.68
115,U1115,22.138127,-100.920512,TRUE,social drinker,elegant,friends,public,single,independent,1990,variety,hard-worker,Catholic,student,green,76,low,1.76
116,U1116,22.156469,-100.98554,FALSE,social drinker,formal,family,public,married,kids,1987,technology,thrifty-protector,Catholic,student,blue,40,medium,1.71
117,U1117,18.875641,-99.220737,FALSE,abstemious,no preference,friends,public,single,independent,1982,technology,thrifty-protector,Catholic,professional,blue,58,medium,1.6
118,U1118,18.940062,-99.228172,TRUE,casual drinker,informal,friends,public,single,independent,1987,technology,thrifty-protector,none,student,black,60,medium,1.68
119,U1119,18.96479,-99.260017,FALSE,abstemious,formal,family,public,single,independent,1992,eco-friendly,thrifty-protector,Catholic,student,blue,68,medium,1.68
120,U1120,22.121857,-100.904279,FALSE,abstemious,informal,friends,public,single,independent,1930,variety,hard-worker,none,student,green,47,low,1.57
121,U1121,18.871674,-99.183253,FALSE,social drinker,no preference,family,public,married,independent,1987,variety,thrifty-protector,Catholic,working-class,black,90,medium,1.6
122,U1122,22.169601,-100.991821,FALSE,abstemious,informal,friends,public,single,independent,1930,none,hard-worker,none,student,yellow,40,medium,1.2
123,U1123,23.753112,-99.168567,FALSE,abstemious,informal,family,public,single,independent,1987,technology,hard-worker,Catholic,student,green,110,medium,1.75
124,U1124,22.137072,-100.918865,FALSE,casual drinker,informal,friends,public,single,independent,1991,none,hard-worker,Catholic,student,blue,51,low,1.2
125,U1125,22.19204,-100.956935,FALSE,casual drinker,formal,friends,public,single,independent,1990,technology,hard-worker,Catholic,student,white,57,low,1.67
126,U1126,22.15421,-100.942233,FALSE,casual drinker,formal,friends,on foot,single,independent,1990,technology,hard-worker,Catholic,student,purple,65,low,1.63
127,U1127,18.943935,-99.206532,FALSE,abstemious,no preference,solitary,public,single,independent,1992,variety,hard-worker,Catholic,student,black,65,low,1.76
128,U1128,22.187236,-100.994213,FALSE,casual drinker,no preference,friends,public,single,independent,1986,variety,thrifty-protector,Catholic,student,red,66,low,1.72
129,U1129,23.728798,-99.134047,FALSE,casual drinker,no preference,friends,public,single,independent,1989,variety,thrifty-protector,none,student,purple,69,low,1.69
130,U1130,23.733,-99.133,FALSE,abstemious,informal,friends,public,single,independent,1989,none,hard-worker,none,student,yellow,40,medium,1.2
131,U1131,22.138245,-100.910948,TRUE,social drinker,no preference,friends,car owner,married,kids,1990,eco-friendly,hard-worker,none,student,black,90,medium,1.8
132,U1132,22.15,-100.983,FALSE,casual drinker,informal,solitary,public,single,independent,1991,none,hard-worker,none,student,blue,55,medium,1.6
133,U1133,18.886698,-99.114979,FALSE,abstemious,no preference,family,car owner,single,independent,1991,none,hard-worker,none,student,orange,60,medium,1.57
134,U1134,22.149654,-100.99861,FALSE,casual drinker,no preference,family,public,single,independent,1991,variety,hard-worker,Catholic,student,black,52,medium,1.65
135,U1135,22.170396,-100.949936,FALSE,casual drinker,informal,family,on foot,single,kids,1988,variety,hunter-ostentatious,Catholic,student,purple,66,low,1.54
136,U1136,22.149607,-100.997235,TRUE,social drinker,no preference,friends,car owner,single,independent,1990,retro,thrifty-protector,Catholic,student,black,50,low,1.6
137,U1137,22.144803,-100.944623,FALSE,social drinker,formal,family,public,single,independent,1989,eco-friendly,hard-worker,Catholic,student,blue,72,low,1.78
138,U1138,22.152884,-100.939663,FALSE,social drinker,formal,friends,public,single,independent,1991,variety,thrifty-protector,none,student,blue,54,medium,1.55
