id,placeID,Rcuisine
170,132244,Italian
171,132245,German
172,132246,Italian
173,132246,Mediterranean
174,132247,Pizzeria
175,132249,International
176,132250,Eastern_European
177,132253,Cafeteria
178,132253,Polish
179,132253,Fast_Food
180,132255,Game
181,132255,Bar_Pub_Brewery
182,132257,Bar_Pub_Brewery
183,132258,Cafeteria
184,132258,Polish
185,132258,Seafood
186,132262,Chinese
187,132265,Asian
188,132266,Chinese
189,132268,Chinese
190,132269,Chinese
191,132270,Bar_Pub_Brewery
192,132271,Bar_Pub_Brewery
193,132272,Contemporary
194,132273,Spanish
195,132273,Latin_American
196,132274,Mexican
197,132275,Latin_American
198,132280,American
199,132281,Bar_Pub_Brewery
200,132283,Cafe-Coffee_Shop
201,132284,Pizzeria
202,132284,Italian
203,132289,Contemporary
204,132289,French
205,132292,Cafe-Coffee_Shop
206,132294,Southern
207,132295,Dutch-Belgian
208,132296,Barbecue
209,132296,French
210,132296,Dutch-Belgian
211,132297,French
212,132298,International
213,132299,Dutch-Belgian
214,132300,Pizzeria
215,132302,American
216,132302,Polish
217,132306,Breakfast-Brunch
218,132310,Southwestern
219,132312,Chinese
220,132312,Vietnamese
221,132315,Continental-European
222,132316,Dutch-Belgian
223,132317,French
224,132317,Dutch-Belgian
225,132318,Mediterranean
226,132318,Cafe-Coffee_Shop
227,132319,French
228,132319,Dutch-Belgian
229,132321,International
230,132324,International
231,132326,Pizzeria
232,132328,Pizzeria
233,132328,Deli-Sandwiches
234,132329,Pizzeria
235,132329,Deli-Sandwiches
236,132330,International
237,132331,International
238,132332,International
239,132333,Japanese
240,132333,Sushi
241,132335,Bar_Pub_Brewery
242,132336,American
243,132337,Cafe-Coffee_Shop
244,132339,American
245,132341,Japanese
246,132341,Sushi
247,132342,Italian
248,132343,Greek
249,132344,Greek
250,132345,Greek
251,132346,Greek
252,132347,Greek
253,132348,Greek
254,132349,Greek
255,132350,Greek
256,132351,Greek
257,132352,Greek
258,132353,Greek
259,132354,Greek
260,132355,Greek
261,132356,Greek
262,132357,Greek
263,132358,Greek
264,132359,Greek
265,132360,Greek
266,132361,Greek
267,132362,Greek
268,132363,Greek
269,132364,Greek
270,132365,Greek
271,132366,Greek
272,132367,Greek
273,132372,Greek
274,132377,Greek
275,132380,Pizzeria
276,132381,Pizzeria
277,132384,Greek
278,132386,Greek
279,132387,Greek
280,132389,Greek
281,132392,Contemporary
282,132392,Continental-European
283,132393,Mexican
284,132396,International
285,132398,Dutch-Belgian
286,132399,Cafe-Coffee_Shop
287,132402,French
288,132406,Soup
289,132407,Mediterranean
290,132408,Dutch-Belgian
291,132409,Seafood
292,132410,Bar_Pub_Brewery
293,132413,American
294,132413,International
295,132414,Asian
296,132417,Italian
297,132417,Mediterranean
298,132419,Italian
299,132419,Mediterranean
300,132421,Italian
301,132425,Fast_Food
302,132429,Dutch-Belgian
303,132430,Italian
304,132432,Cafe-Coffee_Shop
305,132433,Dutch-Belgian
306,132434,Dutch-Belgian
307,132435,Dutch-Belgian
308,132436,International
309,132437,Mediterranean
310,132438,Mediterranean
311,132439,French
312,132439,Dutch-Belgian
313,132440,Dutch-Belgian
314,132441,Dutch-Belgian
315,132442,French
316,132442,International
317,132443,French
318,132443,International
319,132444,Dutch-Belgian
320,132445,Cafe-Coffee_Shop
321,132446,French
322,132447,International
323,132448,Dutch-Belgian
324,132449,Cafe-Coffee_Shop
325,132449,Dutch-Belgian
326,132450,Dutch-Belgian
327,132451,Italian
328,132452,Juice
329,132453,Juice
330,132454,Juice
331,132455,Juice
332,132456,Juice
333,132457,Juice
334,132458,Ethiopian
335,132459,Dutch-Belgian
336,132464,German
337,132468,German
338,132469,German
339,132470,German
340,132474,International
341,132474,Regional
342,132477,Chinese
343,132478,German
344,132479,German
345,132481,German
346,132482,German
347,132483,Armenian
348,132483,German
349,132483,Persian
350,132484,Italian
351,132485,Cafe-Coffee_Shop
352,132487,Southwestern
353,132488,Mexican
354,132491,Bakery
355,132491,Cafe-Coffee_Shop
356,132493,Seafood
357,132493,Southwestern
358,132493,Steaks
359,132509,French
360,132511,German
361,132513,German
362,132514,Dutch-Belgian
363,132517,French
364,132518,Japanese
365,132519,Japanese
366,132521,French
367,132521,Dutch-Belgian
368,132522,International
369,132523,International
370,132524,International
371,132525,International
372,132526,International
373,132527,French
374,132527,Dutch-Belgian
375,132528,International
376,132529,International
377,132530,Cafe-Coffee_Shop
378,132530,Dutch-Belgian
379,132531,Barbecue
380,132531,Dutch-Belgian
381,132532,Vegetarian
382,132533,French
383,132535,International
384,132536,Dutch-Belgian
385,132537,Dutch-Belgian
386,132538,International
387,132539,Cafe-Coffee_Shop
388,132540,Dutch-Belgian
389,132541,Steaks
390,132542,International
391,132543,Dutch-Belgian
392,132544,French
393,132545,International
394,132546,International
395,132547,International
396,132548,International
397,132549,International
398,132550,Italian
399,132551,Dutch-Belgian
400,132555,International
401,132555,Polish
402,132555,Vegetarian
403,132557,Italian
404,132560,Regional
405,132572,Cafeteria
406,132573,Hot_Dogs
407,132574,Pizzeria
408,132575,Diner
409,132576,Fast_Food
410,132577,Fast_Food
411,132578,Mexican
412,132579,Fast_Food
413,132580,Mexican
414,132581,Dessert-Ice_Cream
415,132582,Bakery
416,132583,American
417,132584,Mexican
418,132587,American
419,132588,Mexican
420,132589,Cafeteria
421,132590,Hot_Dogs
422,132591,Mexican
423,132592,Mexican
424,132593,Mexican
425,132594,Mexican
426,132595,Mexican
427,132596,Mexican
428,132598,Mexican
429,132599,Mexican
430,132600,American
431,132601,Cafe-Coffee_Shop
432,132602,Mexican
433,132603,Mexican
434,132604,Cafeteria
435,132605,American
436,132606,American
437,132607,Mexican
438,132608,Mexican
439,132609,Fast_Food
440,132610,Mexican
441,132611,Mexican
442,132612,Pizzeria
443,132613,Mexican
444,132614,Mexican
445,132615,Mexican
446,132617,Mexican
447,132618,Fast_Food
448,132619,Mexican
449,132620,Fast_Food
450,132621,Mexican
451,132622,Chinese
452,132623,Mexican
453,132624,Mexican
454,132625,Mexican
455,132626,Italian
456,132628,Italian
457,132629,Mexican
458,132630,Mexican
459,132631,Mexican
460,132632,Mexican
461,132634,Mexican
462,132635,American
463,132636,American
464,132637,Mexican
465,132638,American
466,132640,American
467,132642,African
468,132643,Mexican
469,132645,American
470,132646,Mexican
471,132648,African
472,132649,Mexican
473,132650,American
474,132652,Mexican
475,132653,American
476,132655,American
477,132657,Mexican
478,132658,American
479,132662,Mexican
480,132663,Mexican
481,132664,Mexican
482,132665,Mexican
483,132666,Mexican
484,132667,Armenian
485,132668,Mexican
486,132669,Mexican
487,132670,Mexican
488,132671,Armenian
489,132672,Mexican
490,132673,Mexican
491,132674,American
492,132675,Mexican
493,132676,Armenian
494,132677,Mexican
495,132678,Mexican
496,132679,American
497,132680,Mexican
498,132681,Mexican
499,132682,American
500,132683,American
501,132684,American
502,132685,Barbecue
503,132686,Thai
504,132687,Japanese
505,132688,Mexican
506,132689,American
507,132690,Mexican
508,132691,Mexican
509,132692,Mexican
510,132693,Bar
511,132694,Mexican
512,132695,Mexican
513,132696,Mexican
514,132697,Mexican
515,132698,Mexican
516,132699,Mexican
517,132700,Mexican
518,132701,Mexican
519,132702,Mexican
520,132703,Mexican
521,132704,Mexican
522,132705,Mexican
523,132706,Mexican
524,132707,Mexican
525,132708,Mexican
526,132709,Mexican
527,132710,Mexican
528,132711,Mexican
529,132712,Mexican
530,132713,American
531,132714,Mexican
532,132715,Mexican
533,132717,Fast_Food
534,132718,Hot_Dogs
535,132719,Hot_Dogs
536,132723,Mexican
537,132724,American
538,132725,Fast_Food
539,132732,Mexican
540,132733,Pizzeria
541,132734,Pizzeria
542,132735,Mexican
543,132736,Korean
544,132737,Mexican
545,132738,Hot_Dogs
546,132739,Mexican
547,132740,Mexican
548,132741,Mexican
549,132742,Mexican
550,132743,Mexican
551,132744,Mexican
552,132745,American
553,132746,Mexican
554,132747,Chinese
555,132748,Mexican
556,132749,Mexican
557,132750,Burgers
558,132751,Burgers
559,132752,Cafeteria
560,132753,Mexican
561,132754,Mexican
562,132755,Mexican
563,132756,Italian
564,132757,Mexican
565,132758,Mexican
566,132760,Mexican
567,132761,Mexican
568,132763,Mexican
569,132764,Mexican
570,132765,Mexican
571,132766,Japanese
572,132767,Vietnamese
573,132768,Family
574,132769,Mexican
575,132770,Spanish
576,132771,Japanese
577,132772,Mexican
578,132773,Family
579,132773,Mexican
580,132774,American
581,132774,Bakery
582,132774,Breakfast-Brunch
583,132774,Burgers
584,132774,Cafe-Coffee_Shop
585,132774,Cafeteria
586,132774,Diner
587,132774,Family
588,132774,Mexican
589,132775,Mexican
590,132776,Mexican
591,132777,Mexican
592,132778,Mexican
593,132779,Mexican
594,132781,Mexican
595,132782,Family
596,132783,International
597,132784,Italian
598,132785,Mexican
599,132786,International
600,132787,International
601,132788,American
602,132789,Mexican
603,132790,International
604,132791,Mexican
605,132792,International
606,132793,Mexican
607,132794,Vegetarian
608,132795,American
609,132796,American
610,132797,Cafeteria
611,132798,Mexican
612,132799,Armenian
613,132801,Mexican
614,132802,Chinese
615,132803,Chinese
616,132804,Bar
617,132805,Mexican
618,132806,Mexican
619,132807,Cafeteria
620,132810,Vegetarian
621,132811,International
622,132825,Mexican
623,132827,Mexican
624,132828,Mexican
625,132829,Mexican
626,132833,Mexican
627,132834,Mexican
628,132835,Mexican
629,132836,Mexican
630,132837,Mexican
631,132838,Mexican
632,132839,Mexican
633,132840,Mexican
634,132841,Mexican
635,132842,Mexican
636,132843,Mexican
637,132845,Mexican
638,132846,International
639,132851,American
640,132851,Game
641,132852,Latin_American
642,132852,Mexican
643,132853,Fast_Food
644,132854,International
645,132855,Mexican
646,132856,Italian
647,132857,International
648,132858,Burgers
649,132859,International
650,132860,International
651,132861,Burgers
652,132862,International
653,132863,International
654,132864,Mexican
655,132865,Mexican
656,132866,Bakery
657,132866,Cafeteria
658,132867,Bar
659,132867,Mexican
660,132868,Mexican
661,132869,Pizzeria
662,132870,Burgers
663,132871,Mexican
664,132872,American
665,132873,American
666,132875,Japanese
667,132885,Cafeteria
668,132886,American
669,132887,Italian
670,132888,Afghan
671,132889,Mexican
672,132890,Mexican
673,132891,Mexican
674,132892,Chinese
675,132893,Mexican
676,132894,Mexican
677,132895,Mexican
678,132896,Mexican
679,132897,Mexican
680,132899,Mexican
681,132900,Mexican
682,132901,Regional
683,132902,Mexican
684,132903,Mexican
685,132904,Mexican
686,132906,Mexican
687,132907,Mexican
688,132908,Mexican
689,132909,Mexican
690,132910,Mexican
691,132911,Mexican
692,132912,Mexican
693,132913,Mexican
694,132914,Mexican
695,132915,Mexican
696,132916,American
697,132917,American
698,132917,Mexican
699,132918,Mexican
700,132919,Mexican
701,132920,Mexican
702,132921,Bar
703,132922,Cafeteria
704,132923,Family
705,132924,Pizzeria
706,132925,Mexican
707,132926,Mexican
708,132927,Mexican
709,132928,Mexican
710,132929,Mexican
711,132930,Mexican
712,132932,Mexican
713,132933,American
714,132934,Mexican
715,132935,Mexican
716,132936,Mexican
717,132937,Bar
718,132938,Mexican
719,132939,Mexican
720,132940,Burgers
721,132941,Mexican
722,132942,Mexican
723,132943,Mexican
724,132945,Mexican
725,132946,Mexican
726,132947,Mexican
727,132948,Mexican
728,132950,Mexican
729,132951,American
730,132953,Mexican
731,132954,Breakfast-Brunch
732,132955,Bar_Pub_Brewery
733,132956,African
734,132957,American
735,132958,American
736,132959,Mexican
737,132960,Mexican
738,132961,Mexican
739,132962,Burgers
740,132962,Hot_Dogs
741,132963,Mexican
742,132964,Bar
743,132965,Bar
744,132966,Bar
745,132967,Bar
746,132968,Bar
747,132969,Bar
748,132970,American
749,132971,Mexican
750,132972,Mexican
751,132973,Mexican
752,132980,Mexican
753,132985,Mexican
754,132986,Mexican
755,132992,American
756,132993,Mexican
757,132994,American
758,132995,American
759,132996,Mexican
760,133000,Family
761,133007,American
762,133008,American
763,133009,American
764,133010,Italian
765,133014,Contemporary
766,133020,American
767,133026,Family
768,133027,Cafeteria
769,133028,Mexican
770,133029,Bar
771,133030,Family
772,133031,Mexican
773,133032,Mexican
774,133033,American
775,133034,Mexican
776,133035,Caribbean
777,133036,Family
778,133037,Mexican
779,133038,Cafeteria
780,133039,Family
781,133043,International
782,133047,American
783,133048,Mexican
784,133049,Latin_American
785,134971,Mexican
786,134972,Cafe-Coffee_Shop
787,134972,Cafeteria
788,134973,Mexican
789,134976,Mexican
790,134976,Mediterranean
791,134976,Burgers
792,134980,Seafood
793,134981,Italian
794,134982,Bar
795,134982,Bar_Pub_Brewery
796,134983,Bar
797,134983,Bar_Pub_Brewery
798,134984,Italian
799,134985,Mexican
800,134986,International
801,134988,Mediterranean
802,134989,Mexican
803,134990,Bar
804,134990,Bar_Pub_Brewery
805,134997,Bar
806,134997,Cafe-Coffee_Shop
807,134997,Cafeteria
808,134999,Japanese
809,135002,Mexican
810,135003,Chinese
811,135004,Bar
812,135004,Bar_Pub_Brewery
813,135005,Mexican
814,135007,Bar
815,135007,Bar_Pub_Brewery
816,135007,Mexican
817,135008,Contemporary
818,135018,Mexican
819,135019,Bar
820,135020,Bar
821,135020,Mexican
822,135021,Fast_Food
823,135022,Mexican
824,135025,Mexican
825,135026,Bar
826,135026,Bar_Pub_Brewery
827,135027,Mexican
828,135028,Mexican
829,135029,Bar
830,135029,Bar_Pub_Brewery
831,135030,Cafe-Coffee_Shop
832,135030,Cafeteria
833,135031,Seafood
834,135032,Cafeteria
835,135032,Contemporary
836,135034,Japanese
837,135035,Italian
838,135036,Bar
839,135037,Mexican
840,135039,Seafood
841,135041,Bar
842,135041,Cafeteria
843,135042,Chinese
844,135043,Fast_Food
845,135043,Pizzeria
846,135044,Chinese
847,135046,Fast_Food
848,135048,Bar
849,135049,Seafood
850,135052,Bar
851,135052,Bar_Pub_Brewery
852,135053,Cafeteria
853,135053,Fast_Food
854,135053,Pizzeria
855,135054,Seafood
856,135055,Mexican
857,135056,Bar
858,135057,Bar
859,135058,Pizzeria
860,135059,Bar
861,135060,Seafood
862,135061,Contemporary
863,135069,Bar
864,135071,Bar
865,135071,Bar_Pub_Brewery
866,135072,Japanese
867,135073,Bar
868,135073,Bar_Pub_Brewery
869,135074,Contemporary
870,135075,Seafood
871,135079,Chinese
872,135085,Fast_Food
873,135086,Burgers
874,135086,Fast_Food
875,135088,Cafeteria
876,135089,Seafood
877,135090,Mexican
878,135091,Japanese
879,135091,Sushi
880,135092,Cafeteria
881,135092,Mexican
882,135093,Mexican
883,135094,Mexican
884,135097,Cafe-Coffee_Shop
885,135097,Cafeteria
886,135097,Contemporary
887,135097,Deli-Sandwiches
888,135097,Diner
889,135097,Mexican
890,135098,Brazilian
891,135098,International
892,135098,Latin_American
893,135098,Steaks
894,135099,Asian
895,135099,Dessert-Ice_Cream
896,135099,International
897,135099,Mongolian
898,135099,Steaks
899,135099,Vegetarian
900,135100,Mexican
901,135100,Steaks
902,135101,Mexican
903,135101,Steaks
904,135102,Latin_American
905,135102,Mexican
906,135102,Steaks
907,135103,Burgers
908,135103,Dessert-Ice_Cream
909,135103,Fast_Food
910,135103,Hot_Dogs
911,135104,Mexican
912,135105,Fast_Food
913,135106,Mexican
914,135107,Latin_American
915,135109,Italian
916,135110,Spanish
