id,placeID,parking_lot
146,132226,public
147,132228,yes
148,132228,public
149,132229,none
150,132230,yes
151,132231,none
152,132232,yes
153,132233,yes
154,132234,yes
155,132235,none
156,132235,yes
157,132237,none
158,132237,none
159,132237,none
160,132238,none
161,132238,none
162,132239,valet parking
163,132240,yes
164,132240,none
165,132242,yes
166,132243,none
167,132243,yes
168,132244,none
169,132244,none
170,132244,none
171,132245,none
172,132246,yes
173,132246,none
174,132247,none
175,132249,none
176,132250,none
177,132253,yes
178,132253,none
179,132253,none
180,132255,yes
181,132255,none
182,132257,yes
183,132258,none
184,132258,none
185,132258,yes
186,132262,none
187,132265,none
188,132266,none
189,132268,none
190,132269,none
191,132270,none
192,132271,none
193,132272,none
194,132273,none
195,132273,none
196,132274,none
197,132275,none
198,132280,none
199,132281,none
200,132283,none
201,132284,none
202,132284,none
203,132289,none
204,132289,none
205,132292,none
206,132294,none
207,132295,public
208,132296,public
209,132296,yes
210,132296,yes
211,132297,yes
212,132298,yes
213,132299,yes
214,132300,yes
215,132302,none
216,132302,yes
217,132306,none
218,132310,yes
219,132312,yes
220,132312,yes
221,132315,none
222,132316,yes
223,132317,public
224,132317,yes
225,132318,public
226,132318,yes
227,132319,yes
228,132319,public
229,132321,public
230,132324,none
231,132326,public
232,132328,public
233,132328,public
234,132329,public
235,132329,none
236,132330,public
237,132331,public
238,132332,public
239,132333,public
240,132333,none
241,132335,none
242,132336,none
243,132337,none
244,132339,public
245,132341,none
246,132341,none
247,132342,none
248,132343,none
249,132344,public
250,132345,public
251,132346,yes
252,132347,none
253,132348,yes
254,132349,yes
255,132350,yes
256,132351,none
257,132352,none
258,132353,none
259,132354,none
260,132355,yes
261,132356,none
262,132357,public
263,132358,yes
264,132359,public
265,132360,public
266,132361,public
267,132362,none
268,132363,public
269,132364,none
270,132365,none
271,132366,none
272,132367,yes
273,132372,public
274,132377,yes
275,132380,none
276,132381,none
277,132384,yes
278,132386,yes
279,132387,none
280,132389,public
281,132392,none
282,132392,public
283,132393,fee
284,132396,none
285,132398,none
286,132399,none
287,132402,none
288,132406,public
289,132407,none
290,132408,public
291,132409,public
292,132410,none
293,132413,yes
294,132413,yes
295,132414,none
296,132417,none
297,132417,yes
298,132419,yes
299,132419,public
300,132421,none
301,132425,yes
302,132429,none
303,132430,none
304,132432,public
305,132433,none
306,132434,public
307,132435,public
308,132436,public
309,132437,yes
310,132438,valet parking
311,132439,valet parking
312,132439,public
313,132440,valet parking
314,132441,yes
315,132442,yes
316,132442,valet parking
317,132443,valet parking
318,132443,valet parking
319,132444,valet parking
320,132445,valet parking
321,132446,none
322,132447,none
323,132448,yes
324,132449,yes
325,132449,fee
326,132450,fee
327,132451,yes
328,132452,none
329,132453,none
330,132454,yes
331,132455,yes
332,132456,yes
333,132457,yes
334,132458,public
335,132459,none
336,132464,none
337,132468,yes
338,132469,none
339,132470,none
340,132474,yes
341,132474,none
342,132477,fee
343,132478,fee
344,132479,yes
345,132481,fee
346,132482,yes
347,132483,none
348,132483,none
349,132483,yes
350,132484,none
351,132485,public
352,132487,none
353,132488,yes
354,132491,none
355,132491,none
356,132493,none
357,132493,none
358,132493,none
359,132509,public
360,132511,yes
361,132513,none
362,132514,none
363,132517,none
364,132518,none
365,132519,none
366,132521,none
367,132521,none
368,132522,public
369,132523,none
370,132524,none
371,132525,none
372,132526,none
373,132527,none
374,132527,none
375,132528,yes
376,132529,yes
377,132530,public
378,132530,none
379,132531,yes
380,132531,none
381,132532,none
382,132533,none
383,132535,none
384,132536,yes
385,132537,yes
386,132538,yes
387,132539,valet parking
388,132540,yes
389,132541,public
390,132542,yes
391,132543,yes
392,132544,yes
393,132545,public
394,132546,yes
395,132547,none
396,132548,public
397,132549,public
398,132550,none
399,132551,none
400,132555,valet parking
401,132555,none
402,132555,none
403,132557,none
404,132560,none
405,132572,yes
406,132573,none
407,132574,none
408,132575,none
409,132576,none
410,132577,public
411,132578,none
412,132579,valet parking
413,132580,yes
414,132581,none
415,132582,none
416,132583,none
417,132584,yes
418,132587,none
419,132588,none
420,132589,none
421,132590,none
422,132591,none
423,132592,none
424,132593,none
425,132594,public
426,132595,none
427,132596,none
428,132598,none
429,132599,none
430,132600,none
431,132601,none
432,132602,none
433,132603,none
434,132604,public
435,132605,none
436,132606,none
437,132607,none
438,132608,none
439,132609,none
440,132610,none
441,132611,none
442,132612,none
443,132613,none
444,132614,none
445,132615,none
446,132617,none
447,132618,none
448,132619,none
449,132620,none
450,132621,none
451,132622,none
452,132623,none
453,132624,none
454,132625,public
455,132626,none
456,132628,none
457,132629,public
458,132630,none
459,132631,none
460,132632,none
461,132634,none
462,132635,none
463,132636,none
464,132637,none
465,132638,none
466,132640,none
467,132642,none
468,132643,public
469,132645,none
470,132646,none
471,132648,public
472,132649,none
473,132650,none
474,132652,none
475,132653,yes
476,132655,yes
477,132657,yes
478,132658,none
479,132662,none
480,132663,none
481,132664,none
482,132665,none
483,132666,yes
484,132667,none
485,132668,none
486,132669,none
487,132670,none
488,132671,public
489,132672,public
490,132673,public
491,132674,yes
492,132675,public
493,132676,none
494,132677,none
495,132678,none
496,132679,none
497,132680,none
498,132681,none
499,132682,none
500,132683,none
501,132684,none
502,132685,none
503,132686,none
504,132687,none
505,132688,none
506,132689,none
507,132690,none
508,132691,none
509,132692,none
510,132693,none
511,132694,none
512,132695,none
513,132696,none
514,132697,none
515,132698,public
516,132699,none
517,132700,none
518,132701,none
519,132702,none
520,132703,none
521,132704,none
522,132705,none
523,132706,none
524,132707,none
525,132708,none
526,132709,yes
527,132710,yes
528,132711,yes
529,132712,none
530,132713,none
531,132714,none
532,132715,public
533,132717,none
534,132718,none
535,132719,none
536,132723,none
537,132724,none
538,132725,none
539,132732,none
540,132733,none
541,132734,none
542,132735,none
543,132736,none
544,132737,none
545,132738,none
546,132739,none
547,132740,yes
548,132741,none
549,132742,none
550,132743,none
551,132744,none
552,132745,none
553,132746,public
554,132747,none
555,132748,none
556,132749,none
557,132750,none
558,132751,none
559,132752,none
560,132753,none
561,132754,yes
562,132755,yes
563,132756,yes
564,132757,yes
565,132758,yes
566,132760,yes
567,132761,none
568,132763,none
569,132764,yes
570,132765,valet parking
571,132766,yes
572,132767,yes
573,132768,yes
574,132769,none
575,132770,none
576,132771,none
577,132772,none
578,132773,yes
579,132773,yes
580,132774,yes
581,132774,yes
582,132774,none
583,132774,valet parking
584,132774,yes
585,132774,yes
586,132774,yes
587,132774,yes
588,132774,none
589,132775,none
590,132776,none
591,132777,yes
592,132778,none
593,132779,yes
594,132781,none
595,132782,none
596,132783,yes
597,132784,none
598,132785,yes
599,132786,none
600,132787,none
601,132788,yes
602,132789,none
603,132790,yes
604,132791,none
605,132792,none
606,132793,none
607,132794,none
608,132795,none
609,132796,none
610,132797,none
611,132798,none
612,132799,none
613,132801,yes
614,132802,none
615,132803,yes
616,132804,public
617,132805,none
618,132806,none
619,132807,yes
620,132810,none
621,132811,none
622,132825,none
623,132827,none
624,132828,none
625,132829,none
626,132833,yes
627,132834,public
628,132835,none
629,132836,none
630,132837,yes
631,132838,yes
632,132839,yes
633,132840,none
634,132841,yes
635,132842,yes
636,132843,none
637,132845,none
638,132846,none
639,132851,none
640,132851,yes
641,132852,yes
642,132852,yes
643,132853,yes
644,132854,none
645,132855,yes
646,132856,none
647,132857,none
648,132858,yes
649,132859,yes
650,132860,yes
651,132861,none
652,132862,yes
653,132863,public
654,132864,yes
655,132865,none
656,132866,yes
657,132866,yes
658,132867,none
659,132867,yes
660,132868,none
661,132869,yes
662,132870,none
663,132871,yes
664,132872,yes
665,132873,yes
666,132875,yes
667,132885,none
668,132886,yes
669,132887,public
670,132888,yes
671,132889,yes
672,132890,yes
673,132891,yes
674,132892,none
675,132893,none
676,132894,none
677,132895,none
678,132896,yes
679,132897,public
680,132899,yes
681,132900,public
682,132901,yes
683,132902,public
684,132903,fee
685,132904,none
686,132906,yes
687,132907,public
688,132908,yes
689,132909,valet parking
690,132910,valet parking
691,132911,none
692,132912,public
693,132913,valet parking
694,132914,valet parking
695,132915,yes
696,132916,none
697,132917,none
698,132917,none
699,132918,none
700,132919,none
701,132920,none
702,132921,public
703,132922,public
704,132923,street
705,132924,fee
706,132925,public
707,132926,street
708,132927,fee
709,132928,street
710,132929,yes
711,132930,street
712,132932,public
713,132933,yes
714,132934,public
715,132935,fee
716,132936,public
717,132937,yes
718,132938,street
719,132939,street
720,132940,street
721,132941,fee
722,132942,yes
723,132943,yes
724,132945,valet parking
725,132946,street
726,132947,public
727,132948,street
728,132950,fee
729,132951,street
730,132953,fee
731,132954,street
732,132955,yes
733,132956,valet parking
734,132957,validated parking
735,132958,public
736,132959,public
737,132960,street
738,132961,valet parking
739,132962,validated parking
740,132962,public
741,132963,street
742,132964,street
743,132965,public
744,132966,street
745,132967,yes
746,132968,yes
747,132969,public
748,132970,validated parking
749,132971,fee
750,132972,street
751,132973,street
752,132980,street
753,132985,fee
754,132986,public
755,132992,fee
756,132993,public
757,132994,public
758,132995,street
759,132996,street
760,133000,fee
761,133007,street
762,133008,street
763,133009,street
764,133010,public
765,133014,street
766,133020,none
767,133026,none
768,133027,fee
769,133028,street
770,133029,fee
771,133030,street
772,133031,yes
773,133032,fee
774,133033,public
775,133034,yes
776,133035,yes
777,133036,public
778,133037,street
779,133038,fee
780,133039,public
781,133043,street
782,133047,fee
783,133048,public
784,133049,public
785,134971,street
786,134972,street
787,134972,street
788,134973,public
789,134976,street
790,134976,public
791,134976,none
792,134980,none
793,134981,none
794,134982,none
795,134982,none
796,134983,none
797,134983,none
798,134984,none
799,134985,none
800,134986,none
801,134988,none
802,134989,yes
803,134990,none
804,134990,yes
805,134997,yes
806,134997,none
807,134997,none
808,134999,none
809,135002,none
810,135003,none
811,135004,none
812,135004,yes
813,135005,none
814,135007,yes
815,135007,yes
816,135007,yes
817,135008,public
818,135018,public
819,135019,yes
820,135020,yes
821,135020,none
822,135021,none
823,135022,public
824,135025,public
825,135026,none
826,135026,none
827,135027,public
828,135028,yes
829,135029,public
830,135029,public
831,135030,public
832,135030,public
833,135031,yes
834,135032,none
835,135032,public
836,135034,none
837,135035,none
838,135036,public
839,135037,yes
840,135039,yes
841,135041,yes
842,135041,yes
843,135042,yes
844,135043,none
845,135043,none
846,135044,yes
847,135046,yes
848,135048,public
849,135049,yes
850,135052,public
851,135052,none
852,135053,yes
853,135053,none
854,135053,yes
855,135054,yes
856,135055,yes
857,135056,none
858,135057,yes
859,135058,none
860,135059,none
861,135060,none
862,135061,none
863,135069,none
864,135071,valet parking
865,135071,yes
866,135072,none
867,135073,yes
868,135073,none
869,135074,yes
870,135075,none
871,135079,none
872,135085,none
873,135086,none
874,135086,yes
875,135088,none
876,135089,none
877,135090,none
878,135091,none
879,135091,yes
880,135092,none
881,135092,none
882,135093,yes
883,135094,none
884,135097,yes
885,135097,none
886,135097,none
887,135097,yes
888,135097,none
889,135097,none
890,135098,none
891,135098,none
892,135098,none
893,135098,none
894,135099,none
895,135099,none
896,135099,none
897,135099,none
898,135099,none
899,135099,none
900,135100,none
901,135100,none
902,135101,none
903,135101,none
904,135102,none
905,135102,none
906,135102,none
907,135103,none
908,135103,none
909,135103,public
910,135103,public
911,135104,yes
912,135105,yes
913,135106,yes
914,135107,yes
915,135109,yes
916,135110,yes
