id,userID,smoker,drink_level,marital_status,hijos,birth_year,interest,personality,religion,activity,label
64,U1065,0,0,0,0,1989,1,3,1,0,0
65,U1066,0,0,0,0,1986,1,0,1,0,2
66,U1067,0,0,0,0,1987,1,0,2,0,2
67,U1068,0,2,0,0,1988,1,0,1,0,0
68,U1069,0,1,0,0,1983,0,0,1,1,2
69,U1070,0,2,0,0,1991,0,0,1,0,0
70,U1071,0,0,0,0,1930,2,1,0,0,1
71,U1072,0,2,0,0,1984,4,0,2,0,2
72,U1073,0,0,2,1,1989,2,2,0,3,0
73,U1074,1,2,0,1,1967,4,2,1,1,3
74,U1075,0,2,0,0,1991,1,0,1,0,0
75,U1076,0,1,1,1,1987,1,0,1,0,2
76,U1077,0,1,1,1,1987,1,0,1,0,2
77,U1078,1,1,0,0,1983,0,2,1,1,2
78,U1079,0,0,0,0,1992,1,0,1,0,0
79,U1080,1,1,0,0,1987,0,2,1,0,2
80,U1081,0,2,0,0,1991,0,2,1,0,0
81,U1082,1,0,0,0,1989,0,2,1,0,0
82,U1083,0,0,0,0,1981,2,2,0,0,2
83,U1084,1,2,0,0,1991,0,0,1,0,0
84,U1085,0,0,0,0,1988,1,0,1,0,0
85,U1086,0,1,0,0,1991,0,1,1,0,0
86,U1087,0,0,0,0,1989,0,0,1,0,0
87,U1088,0,1,0,0,1991,2,2,1,0,0
88,U1089,1,2,0,0,1990,0,3,1,0,0
89,U1090,0,1,0,0,1988,0,0,1,0,0
90,U1091,0,2,0,0,1989,4,0,0,0,0
91,U1092,0,0,0,2,1990,0,0,1,0,0
92,U1093,1,2,0,0,1990,0,0,1,0,0
93,U1094,0,0,0,0,1991,0,0,1,0,0
94,U1095,0,0,1,0,1986,0,0,1,0,2
95,U1096,0,0,0,0,1990,4,2,1,0,0
96,U1097,0,0,0,0,1990,0,2,1,0,0
97,U1098,0,1,0,0,1991,2,0,1,0,0
98,U1099,1,1,0,0,1989,1,3,1,0,0
99,U1100,0,2,0,0,1990,4,2,2,0,0
100,U1101,0,2,0,0,1988,4,1,1,0,0
101,U1102,0,1,0,0,1989,4,3,0,0,0
102,U1103,0,0,0,0,1989,1,2,4,1,0
103,U1104,1,1,0,0,1991,1,1,1,0,0
104,U1105,0,1,0,0,1991,0,2,2,0,0
105,U1106,0,2,0,0,1930,1,2,1,1,1
106,U1107,0,0,0,0,1989,0,2,1,0,0
107,U1108,0,0,0,0,1983,1,0,1,0,2
108,U1109,0,0,0,0,1989,4,0,1,0,0
109,U1110,0,0,0,0,1993,0,0,1,0,0
110,U1111,1,2,0,0,1991,2,2,1,0,0
111,U1112,1,2,0,0,1991,2,2,1,0,0
112,U1113,0,2,0,0,1990,2,0,1,0,0
113,U1114,0,0,0,0,1991,0,2,1,0,0
114,U1115,1,1,0,0,1990,0,2,1,0,0
115,U1116,0,1,1,1,1987,1,0,1,0,2
116,U1117,0,0,0,0,1982,1,0,1,1,2
117,U1118,1,2,0,0,1987,1,0,0,0,2
118,U1119,0,0,0,0,1992,4,0,1,0,0
119,U1120,0,0,0,0,1930,0,2,0,0,1
120,U1121,0,1,1,0,1987,0,0,1,2,2
121,U1122,0,0,0,0,1930,2,2,0,0,1
122,U1123,0,0,0,0,1987,1,2,1,0,2
123,U1124,0,2,0,0,1991,2,2,1,0,0
124,U1125,0,2,0,0,1990,1,2,1,0,0
125,U1126,0,2,0,0,1990,1,2,1,0,0
126,U1127,0,0,0,0,1992,0,2,1,0,0
127,U1128,0,2,0,0,1986,0,0,1,0,2
128,U1129,0,2,0,0,1989,0,0,0,0,0
129,U1130,0,0,0,0,1989,2,2,0,0,0
130,U1131,1,1,1,1,1990,4,2,0,0,0
131,U1132,0,2,0,0,1991,2,2,0,0,0
132,U1133,0,0,0,0,1991,2,2,0,0,0
133,U1134,0,2,0,0,1991,0,2,1,0,0
134,U1135,0,2,0,1,1988,0,1,1,0,0
135,U1136,1,1,0,0,1990,3,0,1,0,0
136,U1137,0,1,0,0,1989,4,2,1,0,0
137,U1138,0,1,0,0,1991,0,0,0,0,0
