ucID,userID,Rcuisine
262,U1135,Cafe-Coffee_Shop
263,U1135,Continental-European
264,U1135,Family
265,U1135,Indian-Pakistani
266,U1135,Tea_House
267,U1135,International
268,U1135,Pacific_Northwest
269,U1135,Australian
270,U1135,German
271,U1135,Regional
272,U1135,Spanish
273,U1135,Persian
274,U1135,Ethiopian
275,U1135,Romanian
276,U1135,Cambodian
277,U1135,Pacific_Rim
278,U1135,Tunisian
279,U1135,Filipino
280,U1135,Dim_Sum
281,U1135,Breakfast-Brunch
282,U1135,Contemporary
283,U1135,Greek
284,U1135,Thai
285,U1135,Swiss
286,U1135,Bar
287,U1135,Soup
288,U1135,American
289,U1135,Mongolian
290,U1135,Cajun-Creole
291,U1135,Armenian
292,U1135,Indigenous
293,U1135,Bar_Pub_Brewery
294,U1135,Hawaiian
295,U1135,Cafeteria
296,U1135,Lebanese
297,U1135,Chinese
298,U1135,Portuguese
299,U1135,Caribbean
300,U1135,Indonesian
301,U1135,Hungarian
302,U1135,Bakery
303,U1135,Dutch-Belgian
304,U1135,Deli-Sandwiches
305,U1135,Kosher
306,U1135,Fine_Dining
307,U1135,Jamaican
308,U1135,Tibetan
309,U1135,Latin_American
310,U1135,Southeast_Asian
311,U1135,Eastern_European
312,U1135,Mexican
313,U1135,Burmese
314,U1135,California
315,U1135,Game
316,U1135,Italian
317,U1135,Scandinavian
318,U1135,Chilean
319,U1135,Polish
320,U1135,North_African
321,U1135,Asian
322,U1135,Vietnamese
323,U1135,Barbecue
324,U1135,French
325,U1135,Brazilian
326,U1135,Southern
327,U1135,Dessert-Ice_Cream
328,U1136,Mexican
329,U1137,Mexican
330,U1138,Pizzeria
